title,director,country,spine,url,img,year,aspect_ratio,color,description,dir_link,duration,lang,country_code,continent,ar
Fighting Elegy,Seijun Suzuki,Japan,269,https://www.criterion.com/films/945-fighting-elegy,https://s3.amazonaws.com/criterion-production/films/cb979ac5bad25ae7921c51153b1dc83f/naRN8ZiqmLTQI6hfhQXxpifXRWQOhh_thumbnail.jpg,1964,2.35:1,Black & White,"High schooler Kiroku Nanbu yearns for the prim, Catholic Michiko, but her only desire is to reform Kiroku's sinful tendencies. Hormones raging, Kiroku channels his unsatisfied lust into the only outlet available: savage, crazed violence. Fighting Elegy (Kenka Erejii) is a unique masterpiece in the diverse career of Seijun Suzuki, combining the director’s signature bravura visual style with a brilliantly focused satire of machismo and fascism.",/shop/browse?director=suzuki-seijun,86,Japanese,JP,Asia,2.35
"Fight, Zatoichi, Fight",Kenji Misumi,Japan,,https://www.criterion.com/films/28307-fight-zatoichi-fight,https://s3.amazonaws.com/criterion-production/films/06aae5d548f169e22473a1560b8af40b/C9uzPZ2an3M9AoDXjTI7aMH8KBOYDU_thumbnail.jpg,,2.35:1,87 minutes,"While on the road, Zatoichi befriends a young mother right before she is savagely murdered. Promising her that he will hand over her baby to its father, the blind masseur embarks on an adventure both sentimental and beset by perilous action. This eighth Zatoichi feature is an excellent showcase for star Shintaro Katsu, who evinces an extraordinary physical and emotional range as the blind swordsman, here father, mother, husband, and reluctant killer all at once.",/shop/browse?director=misumi-kenji,87,Japanese,JP,Asia,2.35
The Firemen’s Ball,Miloš Forman,Czech Republic,145,https://www.criterion.com/films/688-the-firemen-s-ball,https://s3.amazonaws.com/criterion-production/films/4c558aa85967869d1140e852cb1f0368/oCHrw4PTooq8CIRtFGiXs2NSbWaWu2_thumbnail.jpg,1959,1.33:1,Color,"A milestone of the Czech New Wave, Milos Forman’s first color film The Firemen’s Ball (Horí, má panenko) is both a dazzling comedy and a provocative political satire. A hilarious saga of good intentions confounded, the story chronicles a firemen’s ball where nothing goes right—from a beauty pageant whose reluctant participants embarrass the organizers to a lottery from which nearly all the prizes are pilfered. Presumed to be a commentary on the floundering Czech leadership, the film was “banned forever” in Czechoslovakia following the Russian invasion and prompted Forman’s move to America.",/shop/browse?director=forman-milos,73,Czech,CZ,Europe,1.33
Fires on the Plain,Kon Ichikawa,Japan,378,https://www.criterion.com/films/347-fires-on-the-plain,https://s3.amazonaws.com/criterion-production/films/4e72fee8682df2361558b50c2ebc26d3/GTlUD6E30WnPNkTirVkbCka02t57Ql_thumbnail.jpg,1963,2.35:1,Black & White,"An agonizing portrait of desperate Japanese soldiers stranded in a strange land during World War II, Kon Ichikawa's Fires on the Plain is a compelling descent into psychological and physical oblivion. Denied hospital treatment for tuberculosis and cast off into the unknown, Private Tamura treks across an unfamiliar Philippine landscape, encountering an increasingly debased cross section of Imperial Army soldiers, who eventually give in to the most terrifying craving of all. Grisly yet poetic, Fires on the Plain is one of the most powerful works from one of Japanese cinema’s most versatile filmmakers.",/shop/browse?director=ichikawa-kon,104,Japanese,JP,Asia,2.35
The Fire Within,Louis Malle,France,430,https://www.criterion.com/films/540-the-fire-within,https://s3.amazonaws.com/criterion-production/films/a8c39a413f3134b2940ede42c30c02d3/qL6ZEBtqgDUf0j76xJ6GFEpaGQYXl3_thumbnail.jpg,1959,1.66:1,Black & White,"After garnering international acclaim for such seminal crowd-pleasers as The Lovers and Zazie dans le métro, Louis Malle gave his fans a shock with The Fire Within (Le feu follet), a penetrating study of individual and social inertia. Maurice Ronet (Elevator to the Gallows), in an implosive, haunted performance, plays Alain Leroy, a self-destructive writer who resolves to kill himself and spends the next twenty-four hours trying to reconnect with a host of wayward friends. Unsparing in its portrait of Alain’s inner turmoil and shot with remarkable clarity, The Fire Within is one of Malle's darkest and most personal films.",/shop/browse?director=malle-louis,108,French,FR,Europe,1.66
First Man into Space,Robert Day,United States,365,https://www.criterion.com/films/803-first-man-into-space,https://s3.amazonaws.com/criterion-production/films/00d6c9ea7f9017cf82e7a6ed11ca61b3/iRkxCKXeMDcBGmNevTIxN0w4hfg6l2_thumbnail.jpg,1991,1.33:1,Black & White,"In this interstellar cautionary tale, brash U.S. Navy test pilot Dan Prescott, hungry for fame, rockets himself beyond Earth’s atmosphere, only to become encrusted with cosmic dust and return a blood-drinking monster.",/shop/browse?director=day-robert,77,English,US,North America,1.33
The Fisher King,Terry Gilliam,United States,764,https://www.criterion.com/films/28719-the-fisher-king,https://s3.amazonaws.com/criterion-production/films/f976557f07f1f8fe7164723849950f8c/vpWzBCv1hiHyS5nbP1K1nRMavew3mM_thumbnail.jpg,1992,1.78:1,Color,"A fairy tale grounded in poignant reality, the magnificent, Manhattan-set The Fisher King, by Terry Gilliam, features Jeff Bridges and Robin Williams in two of their most brilliant roles. Bridges plays a former radio shock jock reconstructing his life after a scandal, and Williams is a homeless man on a quest for the Holy Grail—which he believes to be hidden somewhere on the Upper East Side. Unknowingly linked by their pasts, the two men aid each other on a fanciful journey to discovering their own humanity. This singular American odyssey features a witty script by Richard LaGravenese, evocative cinematography by Roger Pratt, and superb supporting performances by Amanda Plummer and an Oscar-winning Mercedes Ruehl, all harnessed by Gilliam into a compassionate, funny modern-day myth.",/shop/browse?director=gilliam-terry,138,English,US,North America,1.78
Fishing with John,John Lurie,United States,42,https://www.criterion.com/films/580-fishing-with-john,https://s3.amazonaws.com/criterion-production/films/05815711c1681a5fa7e58e8626fec57c/K8GuiqhVu0BHF5MJFCwUkBnLLg5hED_thumbnail.jpg,2009,1.33:1,Color,"John Lurie knows absolutely nothing about fishing, but that doesn’t stop him from undertaking the adventure of a lifetime in Fishing with John. Traveling with his special guests to the most exotic and dangerous places on earth, John Lurie battles sharks with Jim Jarmusch off the tip of Long Island, goes ice fishing with Willem Dafoe at Maine’s northernmost point, braves the Costa Rican jungle with Matt Dillon, takes Tom Waits to Jamaica, and searches for the elusive giant squid with Dennis Hopper in Thailand.",/shop/browse?director=lurie-john,147,English,US,North America,1.33
Fish Tank,Andrea Arnold,United Kingdom,553,https://www.criterion.com/films/27541-fish-tank,https://s3.amazonaws.com/criterion-production/films/c467c2b736aa487917e683bda0f5fee9/9csB0WnD265jEpvyTxJq5K2An80Ry5_thumbnail.jpg,1965,1.33:1,Color,"British director Andrea Arnold won the Cannes Jury Prize for the intense and invigorating Fish Tank, about a fifteen-year-old girl, Mia (electrifying newcomer Katie Jarvis), who lives with her mother and sister in the housing projects of Essex. Mia’s adolescent conflicts and emerging sexuality reach a boiling point when her mother’s new boyfriend (a lethally attractive Michael Fassbender) enters the picture. In her young career, Arnold has already proven herself to be a master of social realism, evoking the work of Mike Leigh and Ken Loach; and she invests her sympathetic portraits of dead-end lives with a poetic, earthy sensibility all her own. Fish Tank heralds the official arrival of a major new filmmaker.",/shop/browse?director=arnold-andrea,122,English,GB,Europe,1.33
Fists in the Pocket,Marco Bellocchio,Italy,333,https://www.criterion.com/films/348-fists-in-the-pocket,https://s3.amazonaws.com/criterion-production/films/bfe837a00f091aaa9e9223903ad717e2/PtBArZqMvX55aE1Py7CcJJRqtMFXy7_thumbnail.jpg,1970,1.85:1,Black & White,"Tormented by twisted desires, a young man takes drastic measures to rid his grotesquely dysfunctional family of its various afflictions, in this astonishing 1965 debut from Marco Bellocchio. With its coolly assured style, shocking perversity, and savage gallows humor, Fists in the Pocket (I pugni in tasca) was a gleaming ice pick in the eye of bourgeois family values and Catholic morality, a truly unique work that continues to rank as one of the great achievements of Italian cinema.",/shop/browse?director=bellocchio-marco,108,Italian,IT,Europe,1.85
Five Easy Pieces,Bob Rafelson,United States,546,https://www.criterion.com/films/27529-five-easy-pieces,https://s3.amazonaws.com/criterion-production/films/2e38034fc0c56f197327cf1fc7719383/2WOvwsZRBD0RwZ7SHTAHFL5xI2Yhu1_thumbnail.jpg,1952,1.85:1,Color,"Following Jack Nicholson’s breakout supporting turn in Easy Rider, director Bob Rafelson devised a powerful leading role for the new star in the searing character study Fve Easy Pieces. Nicholson plays the now iconic cad Bobby Dupea, a shiftless thirtysomething oil rigger and former piano prodigy immune to any sense of responsibility, who returns to his upper-middle-class childhood home, blue-collar girlfriend (Karen Black, in an Oscar-nominated role) in tow, to see his estranged, ailing father. Moving in its simplicity and gritty in its textures, Five Easy Pieces is a lasting example of early 1970s American alienation.",/shop/browse?director=rafelson-bob,98,English,US,North America,1.85
The Flavor of Green Tea over Rice,Yasujiro Ozu,Japan,989,https://www.criterion.com/films/28229-the-flavor-of-green-tea-over-rice,https://s3.amazonaws.com/criterion-production/films/300405564b27572b5f5f1e5faff182eb/rMmBdDHsGDObJ7X9qwkYVDYLSMgVeA_thumbnail.jpg,1973,1.37:1,Black & White,"One of the ineffably lovely domestic sagas made by Yasujiro Ozu at the height of his mastery, The Flavor of Green Tea over Rice is a sublimely piercing portrait of a marriage coming quietly undone. Secrets and deceptions strain the already tenuous relationship of a childless, middle-aged couple, as the wife’s city-bred sophistication bumps up against the husband’s small-town simplicity, and a generational sea change—in the form of her headstrong, modern niece—sweeps over their household. The director’s abiding concern with family dynamics receives one of its most spirited treatments, with a wry, tender humor and buoyant expansiveness that moves the action from the home into the baseball stadiums, pachinko parlors, and ramen shops of postwar Tokyo.",/shop/browse?director=ozu-yasujiro,116,Japanese,JP,Asia,1.37
Flesh for Frankenstein,Paul Morrissey,United States,27,https://www.criterion.com/films/562-flesh-for-frankenstein,https://s3.amazonaws.com/criterion-production/films/2e2a64517c959dfc1ec9ec1c6149914a/DjlLrNIOmjcwdB6HJjN8BlLXuBP3Ee_thumbnail.jpg,1959,2.35:1,Color,"Maverick filmmaker Paul Morrissey’s Flesh for Frankenstein reevaluates the horror film, infusing it with satiric wit and sexuality. Morrissey’s tale of the mad Baron Frankenstein and his perverse creative urges was heavily edited upon initial release; Criterion presents the restored director’s cut—fully intact after 25 years—in a widescreen transfer.",/shop/browse?director=morrissey-paul,95,English,US,North America,2.35
Floating Weeds,Yasujiro Ozu,Japan,,https://www.criterion.com/films/349-floating-weeds,https://s3.amazonaws.com/criterion-production/films/e19847dc2f6f1689e5970ef13e094ea9/Mf9UMErynympJPguOrU1pChuPtgBJ5_thumbnail.jpg,1950,1.33:1,Color,"In 1959, Yasujiro Ozu remade his 1934 silent classic A Story of Floating Weeds in color with the celebrated cinematographer Kazuo Miyagawa (Rashomon, Ugetsu). Setting his later version in a seaside location, Ozu otherwise preserves the details of his elegantly simple plot wherein an aging actor returns to a small town with his troupe and reunites with his former lover and illegitimate son, a scenario that enrages his current mistress and results in heartbreak for all. Together, the films offer a unique glimpse into the evolution of one of cinema's greatest directors. A Story of Floating Weeds reveals Ozu in the midst of developing his mode of expression; Floating Weeds reveals his distinct style at its pinnacle. In each, the director captures the joy and sadness in everyday life.",/shop/browse?director=ozu-yasujiro,119,Japanese,JP,Asia,1.33
The Flowers of St. Francis,Roberto Rossellini,Italy,293,https://www.criterion.com/films/874-the-flowers-of-st-francis,https://s3.amazonaws.com/criterion-production/films/e45879501e3e02894e6818a8c48aa67c/WjSQhlHNPTUnCk9m6ZQTIOI14pPsuv_thumbnail.jpg,1931,1.33:1,Black & White,"In a series of simple and joyous vignettes, director Roberto Rossellini and co-writer Federico Fellini lovingly convey the universal teachings of the People’s Saint: humility, compassion, faith, and sacrifice. Gorgeously photographed to evoke the medieval paintings of Saint Francis’s time, and cast with monks from the Nocera Inferiore Monastery, The Flowers of St. Francis is a timeless and moving portrait of the search for spiritual enlightenment.",/shop/browse?director=rossellini-roberto,87,Italian,IT,Europe,1.33
"Flunky, Work Hard",Mikio Naruse,Japan,,https://www.criterion.com/films/27544-flunky-work-hard,https://s3.amazonaws.com/criterion-production/films/f2253c6fb89e94976f641d324a43a72f/RjsvDXeBE6pIaBN91M3fXKUiQIOqZI_thumbnail.jpg,1999,1.33:1,Black & White,"Mikio Naruse’s earliest available film, Flunky, Work Hard is the rare work by the director not to center around female characters. It is a charming, breezy short concerning an impoverished insurance salesman and his scrappy son, whose fisticuffs with the other boys of their village put his father’s livelihood in jeopardy.",/shop/browse?director=naruse-mikio,28,Japanese,JP,Asia,1.33
Following,Christopher Nolan,United Kingdom,638,https://www.criterion.com/films/28030-following,https://s3.amazonaws.com/criterion-production/films/872420cba7088d5f5f64157663c6c2c5/PWMlxSDrb4crZTImCxrDbFsxYZMb4k_thumbnail.jpg,1989,1.33:1,Black & White,"Before he became a sensation with the twisty revenge story Memento, Christopher Nolan fashioned this low-budget, 16 mm black-and-white neonoir with comparable precision and cunning. Providing irrefutable evidence of Nolan’s directorial bravura, Following is the fragmented tale of an unemployed young writer who trails strangers through London, hoping that they will provide inspiration for his first novel. He gets more than he bargained for when one of his unwitting subjects leads him down a dark criminal path. With gritty aesthetics and a made-on-the-fly vibe (many shots were simply stolen on the streets, unbeknownst to passersby), Following is a mind- bending psychological journey that shows the remarkable beginnings of one of today’s most acclaimed filmmakers.",/shop/browse?director=nolan-christopher,70,English,GB,Europe,1.33
For All Mankind,Al Reinert,United States,54,https://www.criterion.com/films/599-for-all-mankind,https://s3.amazonaws.com/criterion-production/films/b8d150ed20e90cb009b9cd92f6b838a2/iCvU31Qd88oy6pr3236U5ClpzkmIno_thumbnail.jpg,1952,1.33:1,Color,"In July 1969, the space race ended when Apollo 11 fulfilled President Kennedy’s challenge of “landing a man on the Moon and returning him safely to the Earth.” No one who witnessed the lunar landing will ever forget it. Al Reinert’s documentary For All Mankind is the story of the twenty-four men who traveled to the moon, told in their words, in their voices, using the images of their experiences. Forty years after the first moon landing, it remains the most radical, visually dazzling work of cinema yet made about this earthshaking event.",/shop/browse?director=reinert-al,80,English,US,North America,1.33
Forbidden Games,René Clément,France,318,https://www.criterion.com/films/350-forbidden-games,https://s3.amazonaws.com/criterion-production/films/04f0b5903e208318b2f1ae9d4cd6c50a/4M0xqhgB2XoD9IvjA7Woc3h6apooAW_thumbnail.jpg,1940,1.33:1,Black & White,"A timeless evocation of childhood innocence corrupted, René Clément’s Forbidden Games tells the story of a young girl orphaned by war and the farm boy she joins in a fantastical world of macabre play. At once mythical and heartbreakingly real, this unique film features astonishing performances by its child stars and was honored with a special foreign language film Academy Award in 1952.",/shop/browse?director=clement-rene,86,French,FR,Europe,1.33
Foreign Correspondent,Alfred Hitchcock,United States,696,https://www.criterion.com/films/27692-foreign-correspondent,https://s3.amazonaws.com/criterion-production/films/ba048cab1280d4812330975aedbe95af/L7cUu58lKkbUcDKQv9cuOwx1iKdZki_thumbnail.jpg,2011,1.37:1,Black & White,"In 1940, Alfred Hitchcock made his official transition from the British film industry to Hollywood. And it was quite a year: his first two American movies, Rebecca and Foreign Correspondent, were both nominated for the best picture Oscar. Though Rebecca prevailed, Foreign Correspondent is the more quintessential Hitch film. A full-throttle espionage thriller, starring Joel McCrea as a green Yank reporter sent to Europe to get the scoop on the imminent war, it’s wall-to-wall witty repartee, head-spinning plot twists, and brilliantly mounted suspense set pieces, including an ocean plane crash climax with astonishing special effects. Foreign Correspondent deserves to be mentioned alongside The 39 Steps and North by Northwest as one of the master’s greatest adventures.",/shop/browse?director=hitchcock-alfred,120,English,US,North America,1.37
The Forgiveness of Blood,Joshua Marston,United States,628,https://www.criterion.com/films/28379-the-forgiveness-of-blood,https://s3.amazonaws.com/criterion-production/films/d22c633211642c02aece2d8f4ddc5001/zE0Gvb0ltqwpKiPJlZz3O4tXQuQJ9I_thumbnail.jpg,1957,1.85:1,Color,"American director Joshua Marston emerged in 2004 with the jolting, Oscar-nominated Maria Full of Grace, about a young Colombian woman working as a drug mule. In his remarkable follow-up, The Forgiveness of Blood, he turns his camera on another corner of the world: contemporary northern Albania, a place still troubled by the ancient custom of interfamilial blood feuds. From this reality, Marston sculpts a fictional narrative about a teenage brother and sister physically and emotionally trapped in a cycle of violence, a result of their father’s entanglement with a rival clan over a piece of land. The Forgiveness of Blood is a tense and perceptive depiction of a place where tradition and progress coexist uneasily, as well as a dynamic coming-of-age drama.",/shop/browse?director=marston-joshua,109,Albanian,US,North America,1.85
Forty Guns,Samuel Fuller,United States,954,https://www.criterion.com/films/28567-forty-guns,https://s3.amazonaws.com/criterion-production/films/6f13b49e7cb403480d4b395207c4991e/hEMcXIbp0l0hlL0MnVd6tAZCCiemH6_thumbnail.jpg,1939,2.35:1,Black & White,"Hollywood legend Barbara Stanwyck saddled up with writer-director Samuel Fuller for the pulp maestro’s most audacious western, a boldly feminist spin on the genre that pivots effortlessly between ribald humor, visceral action, and disarming tenderness. High-riding rancher Jessica Drummond (Stanwyck) commands a forty-strong posse  of cowboys, ruling Cochise County, Arizona, without challenge. When U.S. Marshal Griff Bonell (Barry Sullivan) and his brothers arrive in town with a warrant for one of her hired guns, Jessica begins to fall for the lawman even as he chips away at her authority. With astonishing black-and-white CinemaScope photography, hard-boiled dialogue laced with double entendres, and a fiery performance by Stanwyck at her most imperious, Forty Guns is a virtuoso display of Fuller’s sharpshooting talents.",/shop/browse?director=fuller-samuel,80,English,US,North America,2.35
The Four Feathers,Zoltán Korda,United Kingdom,583,https://www.criterion.com/films/27555-the-four-feathers,https://s3.amazonaws.com/criterion-production/films/2da4d0c79beb86847c2261375f9398b8/jmY6oDkuPgJEbutjseJAERGXAYyRVG_thumbnail.jpg,1975,1.37:1,Color,"This Technicolor spectacular, directed by Zoltán Korda, is considered the finest of the many adaptations of A. E. W. Mason’s classic 1902 adventure novel about the British empire’s exploits in Africa, and a crowning achievement of Alexander Korda’s legendary production company, London Films. Set at the end of the nineteenth century, The Four Feathers follows the travails of a young officer (John Clements) accused of cowardice after he resigns his post on the eve of a major deployment to Khartoum; he must then fight to redeem himself in the eyes of his fellow officers (including Ralph Richardson) and fiancée (June Duprez). Featuring music by Miklós Rózsa and Oscar-nominated cinematography by Georges Périnal and Osmond Borradaile, The Four Feathers is a thrilling, thunderous epic.",/shop/browse?director=korda-zoltan,115,English,GB,Europe,1.37
Fox and His Friends,Rainer Werner Fassbinder,Germany,851,https://www.criterion.com/films/27957-fox-and-his-friends,https://s3.amazonaws.com/criterion-production/films/6c51980b28a026de3462f7102779dbc9/EUycN8XIb0CxWtbP6KEkEPtNUYQpfe_thumbnail.jpg,2013,1.37:1,Color,"A lottery win leads not to financial and emotional freedom but to social captivity, in this wildly cynical classic about love and exploitation by Rainer Werner Fassbinder. Casting himself against type, the director plays a suggestible working-class innocent who lets himself be taken advantage of by his bourgeois new boyfriend and his circle of materialistic friends, leading to the kind of resonant misery that only Fassbinder could create. Fox and His Friends is unsparing social commentary, an amusingly pitiless and groundbreaking if controversial depiction of a gay community in 1970s West Germany.",/shop/browse?director=fassbinder-rainer-werner,124,German,DE,Europe,1.37
Frances Ha,Noah Baumbach,United States,681,https://www.criterion.com/films/28560-frances-ha,https://s3.amazonaws.com/criterion-production/films/696c37eed59910dfea4434e026341851/inQvZ3WX3kf2maiBNowA2WVCzoqTOe_thumbnail.jpg,1955,1.85:1,Black & White,"Greta Gerwig is radiant as Frances, a woman in her late twenties in contemporary New York trying to sort out her ambitions, her finances, and, above all, her intimate but shifting bond with her best friend, Sophie (Mickey Sumner). Meticulously directed by Noah Baumbach with a free-and-easy vibe reminiscent of the French New Wave’s most spirited films, and written by Baumbach and Gerwig with an effortless combination of sweetness and wit, Frances Ha gets at both the frustrations and the joys of being young and unsure of where to go next. This wry and sparkling city romance is a testament to the ongoing vitality of independent American cinema.",/shop/browse?director=baumbach-noah,86,English,US,North America,1.85
French Cancan,Jean Renoir,France,243,https://www.criterion.com/films/891-french-cancan,https://s3.amazonaws.com/criterion-production/films/d602ab50d502547a667e45732afe0316/ozUNQctuLwZeI2ZJ9PgnhvUpfY8VkE_thumbnail.jpg,1981,1.33:1,Color,"Nineteenth-century Paris comes vibrantly alive in Jean Renoir’s exhilarating tale of the opening of the world-renowned Moulin Rouge. Jean Gabin plays the wily impresario Danglard, who makes the cancan all the rage while juggling the love of two beautiful women—an Egyptian belly-dancer and a naive working girl turned cancan star. This celebration of life, art and the City of Light (with a cameo by Edith Piaf) is a Technicolor tour de force by a master of modern cinema.",/shop/browse?director=renoir-jean,105,French,FR,Europe,1.33
The French Lieutenant’s Woman,Karel Reisz,United Kingdom,768,https://www.criterion.com/films/28037-the-french-lieutenant-s-woman,https://s3.amazonaws.com/criterion-production/films/9762df3989455ca24cd875d40725f202/fRIqrmeNWzN0xxfdXvd8vFM0gaAUAn_thumbnail.jpg,1925,1.85:1,Color,"An astounding array of talent came together for the big-screen adaptation of John Fowles’s novel The French Lieutenant’s Woman, a postmodern masterpiece that had been considered unfilmable. With an ingenious script by the Nobel Prize–winning playwright Harold Pinter, British New Wave trailblazer Karel Reisz transforms Fowles’s tale of scandalous romance into an arresting, hugely entertaining movie about cinema. In Pinter’s reimagining, Jeremy Irons and Meryl Streep star in parallel narratives, as a Victorian-era gentleman and the social outcast he risks everything to love, and as the contemporary actors playing those roles in a film production, and immersed in their own forbidden affair. Shot by the consummate cinematographer Freddie Francis and scored by the venerated composer and conductor Carl Davis, this is a beguiling, intellectually nimble feat of filmmaking, starring a pair of legendary actors in early leading roles.",/shop/browse?director=reisz-karel,123,English,GB,Europe,1.85
The Freshman,Sam Taylor…,United States,703,https://www.criterion.com/films/28510-the-freshman,https://s3.amazonaws.com/criterion-production/films/cbda2b73d58c94da90d718beb2a6212f/grzsX7mRu1vFpl7oMh12x96ahSdYbj_thumbnail.jpg,1973,1.33:1,Black & White,"Harold Lloyd’s biggest box-office hit was this silent comedy gem, featuring the befuddled everyman at his eager best as a new college student. Though he dreams of being a big man on campus, the freshman’s careful plans inevitably go hilariously awry, be it on the football field or at the Fall Frolic. But he gets a climactic chance to prove his mettle—and impress the sweet girl he loves—in one of the most famous sports sequences ever filmed. This crowd-pleaser is a gleeful showcase for Lloyd’s slapstick brilliance and incandescent charm, and it is accompanied here by a new orchestral score by Carl Davis.",/shop/browse?director=taylor-sam,76,English,US,North America,1.33
The Friends of Eddie Coyle,Peter Yates,United States,475,https://www.criterion.com/films/1426-the-friends-of-eddie-coyle,https://s3.amazonaws.com/criterion-production/films/4b7b707e5d1ca031e64894a0f7664f56/Ih7c7WkDI5YcytMafpe83E30nVygJD_thumbnail.jpg,1980,1.85:1,Color,"In one of the best performances of his legendary career, Robert Mitchum plays small-time gunrunner Eddie “Fingers” Coyle in an adaptation by Peter Yates of George V. Higgins’s acclaimed novel The Friends of Eddie Coyle. World-weary and living hand to mouth, Coyle works on the sidelines of the seedy Boston underworld just to make ends meet. But when he finds himself facing a second stretch of hard time, he’s forced to weigh loyalty to his criminal colleagues against snitching to stay free. Directed with a sharp eye for its gritty locales and an open heart for its less-than-heroic characters, this is one of the true treasures of 1970s Hollywood filmmaking—a suspenseful crime drama in stark, unforgiving daylight.",/shop/browse?director=yates-peter,102,English,US,North America,1.85
From the Life of the Marionettes,Ingmar Bergman,Sweden,,https://www.criterion.com/films/27806-from-the-life-of-the-marionettes,https://s3.amazonaws.com/criterion-production/films/948e787a35d8c392de67ed60e37af6f4/2o9o7Ez8t0RhAv1gj5Y4B2kExwobcD_thumbnail.jpg,1960,1.66:1,Black & White,"Made during his self-imposed exile in Germany, Ingmar Bergman’s From the Life of the Marionettes offers a lacerating portrait of a destructive marriage and a complex psychological analysis of a murder. Businessman Peter nurses fantasies of killing his wife, Katarina, until a prostitute becomes his surrogate prey. In the aftermath of the crime, Peter and Katarina’s psychiatrist and others attempt to explain its roots. Jumping back and forth in time, this compelling film moves seamlessly between seduction and repulsion, and the German cast is superb.",/shop/browse?director=bergman-ingmar,104,Swedish,SE,Europe,1.66
The Fugitive Kind,Sidney Lumet,United States,515,https://www.criterion.com/films/17998-the-fugitive-kind,https://s3.amazonaws.com/criterion-production/films/ab50820df18a853301f6a9373f9a89e5/de18veIfOSKsiujK2L55CgZ4HCcgeQ_thumbnail.jpg,1997,1.66:1,Black & White,"Four Oscar–winning actors—Marlon Brando, Anna Magnani, Joanne Woodward, and Maureen Stapleton—sink their teeth into this enthralling film, which brings together the legendary talents of director Sidney Lumet and writer Tennessee Williams. A smoldering, snakeskin-jacketed Brando is Val Xavier, a drifter trying to go straight. He finds work and solace in a southern small-town variety store run by the married, sexually frustrated Lady Torrance (Magnani), who proves as much a temptation for Val as local wild child Carol Cutrere (Woodward). Lumet captures the intense, fearless performances and Williams’s hot-blooded storytelling and social critique with his customary restraint, resulting in a drama of uncommon sophistication and craft.",/shop/browse?director=lumet-sidney,121,English,US,North America,1.66
Funny Games,Michael Haneke,Austria,975,https://www.criterion.com/films/28836-funny-games,https://s3.amazonaws.com/criterion-production/films/8a4b858980d60c264542454bf6c78fa6/4Wm5jDl9lBWMJo3UB6gBpNNQxfACdv_thumbnail.jpg,1950,1.85:1,Color,"Michael Haneke’s most notorious provocation, Funny Games spares no detail in its depiction of the agony of a bourgeois family held captive at their vacation home by a pair of white-gloved young men. In a series of escalating “games,” the sadistic duo subject their victims to unspeakable physical and psychological torture over the course of a night. A home-invasion thriller in which the genre’s threat of bloodshed is made stomach-churningly real, the film ratchets up shocks even as its executioners interrupt the action to address the audience, drawing queasy attention to the way that cinema milks pleasure from pain and stokes our appetite for atrocity. With this controversial treatise on violence and entertainment, Haneke issued a summation of his cinematic philosophy, implicating his audience in a spectacle of unbearable cruelty.",/shop/browse?director=haneke-michael,109,German,AT,Europe,1.85
The Furies,Anthony Mann,United States,435,https://www.criterion.com/films/596-the-furies,https://s3.amazonaws.com/criterion-production/films/27347e78f7beca764a3920161b531e11/9TTjP15bKoZruNTlx8uvvB6oPAMC2O_thumbnail.jpg,1997,1.33:1,Black & White,"Barbara Stanwyck and Walter Huston are at their fierce finest in master Hollywood craftsman Anthony Mann’s crackling western melodrama The Furies. In 1870s New Mexico Territory, megalomaniacal widowed ranch owner T. C. Jeffords (Huston, in his final role) butts heads with his daughter, Vance (Stanwyck), a firebrand with serious daddy issues, over her dowry, choice of husband, and, finally, ownership of the land itself. Both sophisticated in its view of frontier settlement and ablaze with searing domestic drama, The Furies is a hidden treasure of American filmmaking, boasting Oscar™–nominated cinematography and vivid supporting turns from Judith Anderson, Wendell Corey, and Gilbert Roland.",/shop/browse?director=mann-anthony,109,English,US,North America,1.33
The Game,David Fincher,United States,627,https://www.criterion.com/films/28058-the-game,https://s3.amazonaws.com/criterion-production/films/693744d52bb74cb5166725421bb473e6/d121BfwKuez4Xs7tpGnThzfqDXpCgK_thumbnail.jpg,1964,2.40:1,Color,"The enormously wealthy and emotionally remote investment banker Nicholas Van Orton (Michael Douglas) receives a strange gift from his ne’er-do-well younger brother (Sean Penn) on his forty-eighth birthday: a voucher for a game that, if he agrees to play it, will change his life. Thus begins a trip down the rabbit hole that is puzzling, terrifying, and exhilarating for Nicholas and viewers alike. This multilayered, noirish descent into one man’s personal hell is also a surreal, metacinematic journey that, two years after the phenomenon Se7en, further demonstrated that director David Fincher was one of Hollywood’s true contemporary visionaries.",/shop/browse?director=fincher-david,128,English,US,North America,2.4
Gate of Flesh,Seijun Suzuki,Japan,298,https://www.criterion.com/films/863-gate-of-flesh,https://s3.amazonaws.com/criterion-production/films/fa9db366fd1c40e24a3bc3a7be63ee38/KCubSyFFn3yISghF96tuDKBaDwb1oy_thumbnail.jpg,1953,2.35:1,Color,"In the shady black markets and bombed-out hovels of post–World War II Tokyo, a tough band of prostitutes eke out a dog-eat-dog existence, maintaining tenuous friendships and a semblance of order in a world of chaos. But when a renegade ex-soldier stumbles into their midst, lusts and loyalties clash, with tragic results. With Gate of Flesh, visionary director Seijun Suzuki delivers a whirlwind of social critique and pulp drama, shot through with brilliant colors and raw emotions.",/shop/browse?director=suzuki-seijun,90,Japanese,JP,Asia,2.35
