                                                                                                                                                                                                                                                          ,,,,,,,
"Source: USCIS, data as of Nov. 30, 2018. Notes: All data is based on petitions approved during the fiscal year for both initial employment and continuing employment. Petitions approved in a fiscal year may be filed in previous fiscal years. Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter ""H"" replaces the value from which one could deduce the value of ""D"". While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the USCIS electronic data storage system does not capture the education field. Median salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. We excluded employers without tax identification numbers in our system. The H-1B petition may be used to sponsor an alien currently in a different nonimmigrant classification, or with no classification if outside the U.S., for an initial period of H-1B employment (see “initial employment” column below), or to extend or change the authorized stay of an alien currently in H-1B status (see “continuing employment” column below). An employer may file an H-1B petition to sponsor an alien who currently has H-1B nonimmigrant status working for another employer or to amend a previously approved petition; these petitions are counted in the “continuing employment” column below. Initial employment includes both cap-subject and cap-exempt petitions.",,,,,,,
Employer Tax ID     (Last 4 Digits),Employer Name, Number of Beneficiaries ,,, Median Salary , Beneficiary Degree/Dipolma ,
 , ,   ,   ,   ,   , Master's , D 
149,FEDERAL HOME LOAN BANK OF DES MOIN, D , D ,14,"83,530", Master's ,11
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Bachelor's , D 
8150,ICONNECT LC, D ,11, H ,"105,456", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
3470,AMERICAN INFORMATION TECH CORP,   ,14,14,"82,094", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
7510,HNI CORPORATION,   ,14,14,"119,758", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
7,CARLSON WAGONLIT TRAVEL, D ,13, H ,"108,007", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3768,ROCHE SEQUENCING SOLUTIONS INC, D ,12, H ,"144,818", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9430,INTEPLAST GROUP CORPORATION, D ,10, H ,"55,639", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2646,OSF MULTI SPECIALTY GROUP, D , D ,14,"280,000", Professional Degree ,14
7333,COMPUTER GLOBAL SOLUTIONS INC, D ,13, H ,"88,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
5344,AMROCK INC, D , D ,14,"74,437", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
9300,VIRTUAL SYSTEMS SOLUTIONS INC DBA, D ,13, H ,"86,479", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
4500,DE LAGE LANDEN FINANCIAL SVCS INC, D ,10, H ,"104,635", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
4400,OAKLAND UNIV, D , D ,14,"79,247", Doctorate ,10
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Professional Degree , D 
7840,UNISYS CORPORATION, D ,13, H ,"95,634", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9838,BI LABS INC, D ,10, H ,"72,500", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
655,DYS TECHNOLOGIES INC, D ,13, H ,"85,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
3459,ZURICH AMERICAN INSURANCE COMPANY,   ,14,14,"115,567", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
3626,BOOZ ALLEN HAMILTON INC, D ,10, H ,"105,923", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
7456,BAKER & MCKENZIE LLP, D ,11, H ,"190,000", Master's , D 
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
2024,STERIS CORPORATION, D ,13, H ,"97,007", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
4715,SYNCHRONISYS INC, D ,13, H ,"65,490", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
2692,ICU MEDICAL INC, D ,13, H ,"120,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
5375,TEKGENCE INC, D , D ,14,"79,200", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3988,UNITED BUSINESS SOLUTIONS INC, D ,12, H ,"73,950", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
3031,CONDUENT BUSINESS SERVICES LLC,   ,14,14,"107,850", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
9854,LUXOTTICA RETAIL NORTH AMERICA INC, D , D ,14,"110,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Professional Degree , D 
2657,BELCAN ENGINEERING GROUP LLC, D ,13, H ,"70,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6639,DSW INC, D ,12, H ,"109,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3239,BKFS I SERVICES LLC, D ,11, H ,"96,973", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
4899,VIEW INC, D ,12, H ,"115,432", Master's ,10
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
9661,YASHRAJ TECHNOLOGIES INC,   ,14,14,"85,551", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
8592,GLOBAL PHARMA TEK LLC, D ,12, H ,"80,000", Master's ,12
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
67,CHADWICK RILEY CORPORATION, D , D ,14,"90,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
5643,SERVER MANAGEMENT SERVICES LLC, D , D ,14,"65,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
9394,THE WONDERFUL COMPANY LLC, D ,11, H ,"121,500", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
5503,DATADOG INC, D ,11, H ,"140,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
4777,KONKASOFT LLC DBA SOFTIKON, D ,12, H ,"93,038", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
3863,TORQUE TECHNOLOGIES LLC, D , D ,14,"93,000", Master's ,12
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Some College , D 
2481,GEMINI CONSULTING & SERVICES LLC, D ,12, H ,"80,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
3153,FOURSQUARE LABS INC, D ,12, H ,"135,000", Master's ,12
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
6416,FOUNDATION MEDICINE INC, D , D ,14,"110,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
5053,KNOWLEDGENT GROUP INC,10, D , H ,"135,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
5443,EDGEWORTH ECONOMICS LLC,13, D , H ,"74,889", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
4939,UA CONNECTED FITNESS INC, D , D ,14,"126,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
4749,3 EDGEUSA GROUP LLC, D ,12, H ,"90,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2137,WELLTOK INC, D , D ,14,"78,075", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
4388,EIFER SOFTWARE SOLUTIONS INC, D , D ,14,"81,250", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
7101,ZUVEN TECHNOLOGIES INC,   ,14,14,"92,768", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
4228,UKTHA GLOBAL INC, D ,12, H ,"78,549", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
1711,SUNRUN INC, D ,13, H ,"134,071", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
8846,GOOYAH TECHNOLOGIES INC,10, D , H ,"80,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
5311,EXPICIENT INC, D ,10, H ,"95,856", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
3000,BENED SOFTWARE SERVICES INC,   ,14,14,"80,080", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
1621,VIRTU FINANCIAL OPERATING LLC, D , D ,14,"130,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
1784,MAXARY LLC,10, D , H ,"70,803", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
5984,AGILITY TECHNOLOGIES LLC, D ,13, H ,"82,987", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
6158,TASACOM TECHNOLOGIES INC, D ,12, H ,"82,707", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
6885,LOGICATECH INC,   ,14,14,"85,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6580,FEDEX SUPPLY CHAIN INC, D ,11, H ,"96,658", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
5480,UPMC PRESBYTERIAN SHADYSIDE, D , D ,14,"88,377", Master's ,11
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Bachelor's , D 
780,PPG INDUSTRIES INC, D , D ,14,"88,008", Doctorate , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
6438,XENON INFOTEK INC, D , D ,14,"63,000", Master's ,14
7210,KMK CONSULTING INC, D ,12, H ,"105,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6232,PRUTECH SOLUTIONS INC, D ,13, H ,"99,000", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
5802,CITADEL INFORMATION SERVICES INC, D ,13, H ,"79,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9688,FREEDOM MORTGAGE CORPORATION, D , D ,14,"70,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2767,SEALED AIR CORPORATION US, D ,13, H ,"110,555", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
9062,SWIFT TECHNOLOGIES INC,12, D , H ,"60,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
8169,INDEPTH ENGINEERING SOLUTIONS LLC, D ,11, H ,"80,080", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6389,BROOK CONSULTANTS INC,11, D , H ,"60,798", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6708,DOYENSYS INC, D ,13, H ,"80,500", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
4389,CHERRYROAD TECHNOLOGIES INC,   ,14,14,"130,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Associate Degree , D 
6276,FLEX CONSULTING GROUP INC, D ,12, H ,"79,250", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
470,HR PUNDITS INC, D , D ,14,"72,686", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
8340,LORSHI SYSTEMS LLC, D ,13, H ,"79,872", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
8757,CYNOSURE TECHNOLOGIES LLC, D ,13, H ,"91,500", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2791,HUBSPOT INC, D , D ,14,"120,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
509,ADVANCESOFT INC, D ,13, H ,"77,100", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
7565,XPERT TECHNOLOGIES INC, D ,13, H ,"83,500", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
5180,APPLIED THOUGHT AUDITORS & CONSULT, D ,10, H ,"82,420", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3222,GREYCELL LABS INC, D ,13, H ,"85,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
5737,ADVANCE DIGITAL SYSTEMS INC, D , D ,14,"92,976", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
1546,HANDEL ARCHITECTS LLP, D , D ,14,"62,250", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2874,AUROBINDO PHARMA USA INC, D , D ,14,"83,500", Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
3999,THOUGHT BYTE INC, D , D ,14,"70,221", Master's ,14
9466,ATI HOLDINGS LLC, D ,11, H ,"79,500", Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
8820,INTERSOFT DATA LABS INC, D ,11, H ,"74,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
5202,SOFTTHINK SOLUTIONS INC, D ,13, H ,"94,182", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9451,PALNI INC, D ,12, H ,"87,859", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
6154,PMG GLOBAL CORPORATION, D ,11, H ,"80,435", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
320,SULLIVAN & CROMWELL LLP,12, D , H ,"180,000", Bachelor's , D 
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
5373,TEMENOS USA INC, D ,12, H ,"96,537", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
7197,THE NEW SCHOOL, D , D ,14,"81,250", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
8979,MULTIPLAN INC, D ,13, H ,"115,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
2036,RALPH LAUREN CORPORATION, D ,12, H ,"95,500", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
510,SAINT-GOBAIN CERAMICS & PLASTICS I, D , D ,14,"98,539", Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
8370,IKASYSTEMS CORPORATION DBA VISIANT, D ,10, H ,"112,428", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
4561,WEI WEI & CO LLP, D , D ,14,"30,869", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
830,ST JOHN S UNIVERSITY, D , D ,14,"92,150", Doctorate , H 
 , ,   ,   ,   ,   , Master's , D 
5964,MICHAEL KORS USA INC, D ,11, H ,"92,500", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
3787,JAZZ PHARMACEUTICALS INC, D ,13, H ,"139,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
6884,ALNYLAM PHARMACEUTICALS, D ,13, H ,"106,500", Master's ,12
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
8199,MICRODESK INC, D , D ,14,"82,500", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
311,BAYSTATE MEDICAL CENTER INC, D , D ,14,"61,600", Professional Degree , H 
 , ,   ,   ,   ,   , Master's , D 
5946,STMICROELECTRONICS INC, D ,11, H ,"121,927", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
9566,IHEARTMEDIA MANAGEMENT SVCS INC, D ,11, H ,"115,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
52,DEEBECON INC, D , D ,14,"94,526", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
4487,NATERA INC, D ,13, H ,"118,912", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
2286,DIGITAS INC, D , D ,14,"81,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
6185,AFFINE INC, D , D ,13,"103,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3332,MAN INVESTMENTS USA HOLDINGS INC, D , D ,13,"100,000", Master's ,10
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
8421,MAGNA POWERTRAIN OF AMERICA INC, D , D ,13,"92,655", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2372,PASADENA UNIFIED SCHOOL DISTRICT, D , D ,13,"58,476", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
3855,ISPACE INC, D ,12, H ,"89,232", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
1728,ACE AMERICAN INSUR CO A MEMBER OF, D ,10, H ,"110,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
5025,MAQ L L C DBA MAQ SOFTWARE,   ,13,13,"93,038", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
4161,TERARECON INC, D , D ,13,"87,848", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
8481,FENWICK & WEST LLP, D ,12, H ,"210,000", Professional Degree , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
6086,GOLDEN VALLEY HEALTH CENTERS, D ,12, H ,"195,000", Professional Degree , H 
 , ,   ,   ,   ,   , Master's , D 
9123,HYATT CORPORATION, D ,11, H ,"96,914", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
1825,XPO ENTERPRISE SERVICES INC, D ,10, H ,"101,906", Master's ,11
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
608,DAIMLER TRUCKS NORTH AMERICA LLC, D ,11, H ,"82,260", Master's , H 
 , ,   ,   ,   ,   , Associate Degree , D 
3667,GLU MOBILE INC, D , D ,13,"110,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
4775,MEDIATEK USA INC, D , D ,13,"135,000", Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Bachelor's , D 
5998,PROVIDENCE HEALTH & SERVICES, D , D ,13,"116,251", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
1110,PACCAR INC,   ,13,13,"105,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9490,ZUME IT INC, D ,12, H ,"80,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
642,UNIVERSITY OF NEW MEXICO, D , D ,13,"76,500", Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Master's , D 
7907,GREAT WEST LIFE ANNUITY INSUR CO,   ,13,13,"108,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
323,ATRONIX ACQUISITION CORP,10, D , H ,"63,750", Master's ,13
9166,SAMBANOVA SYSTEMS INC, D ,12, H ,"130,000", Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
1248,BORDRIN MOTOR CORPORATION INC, D , D ,13,"112,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
5210,BYTEDANCE INC, D ,11, H ,"84,000", Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
430,HEARTLAND PAYMENT SYSTEMS LLC, D ,11, H ,"96,255", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
6643,VERACITY SOFTWARE INC, D , D ,13,"75,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
4194,FEDERAL SOFT SYSTEMS INC, D ,11, H ,"77,100", Master's ,13
5073,OFFERUP INC, D , D ,13,"140,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
5631,YASH SOLUTIONS LLC,   ,13,13,"76,586", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
6629,INNOMINDS SOFTWARE INC, D ,10, H ,"99,750", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
6366,EGAIN CORPORATION,   ,13,13,"128,336", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
8878,AERIS COMMUNICATIONS INC, D , D ,13,"110,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9666,CRISIL IREVNA US LLC, D , D ,13,"93,767", Master's ,13
8207,BLACKBERRY CORPORATION, D ,10, H ,"120,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
2149,UNIV OF NORTH TEXAS, D , D ,13,"68,000", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
3650,RECARO AIRCRAFT SEATING AMERICAS, D ,11, H ,"80,340", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
8861,REALPAGE INC,   ,13,13,"101,900", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2681,NTELICOR LP, D ,12, H ,"99,840", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
5688,PENSOFT TECHNOLOGIES INC, D , D ,13,"62,754", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3604,MICHAELS STORES INC,   ,13,13,"120,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
2904,ACCENTURE LLP, D ,12, H ,"86,400", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
517,CLEVELAND INDEPENDENT SCHOOL DIST, D , D ,13,"48,850", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
298,LAMAR UNIVERSITY, D , D ,13,"70,000", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
4007,NEW ENGLAND INPATIENT SPCS LLC, D ,10, H ,"225,000", Professional Degree ,13
8584,WORLDWIDE OILFIELD MACHINE INC,   ,13,13,"75,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
544,SOUTHWEST RESEARCH INSTITUTE, D , D ,13,"86,899", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
3802,GRAND SUPERCENTER INC, D , D ,13,"45,078", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
6620,AMITECH SOLUTIONS INC,   ,13,13,"82,202", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
7125,ESTRADA CONSULTING INC,   ,13,13,"104,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
7321,SAP INDUSTRIES INC, D , D ,13,"135,500", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
5325,CALIFORNIA STATE UNIV SACRAMENTO, D , D ,13,"83,004", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
2760,IMPERIAL PACIFIC INTL CNMI LLC, D , D ,13,"120,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
6286,BBVA COMPASS, D , D ,13,"96,500", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
412,JACOBS TECHNOLOGY INC DBA JACOBS, D , D ,13,"73,800", Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
1443,RED CLAY CONSULTING, D ,12, H ,"85,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
897,FUTURETECH CONSULTANTS LLC, D ,11, H ,"82,202", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9225,OBJECTS ON NET INC, D , D ,13,"80,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
4577,INFOSYS MCCAMISH SYSTEMS LLC,   ,13,13,"110,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
1,MANHEIM REMARKETING INC, D ,12, H ,"115,568", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
770,LEXINGTON COUNTY SCHOOL DISTRICT O,13,   ,13,"43,543", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
7058,QUANTA TECHNOLOGY LLC, D ,11, H ,"96,177", Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
6338,RESEARCH TRIANGLE INST RTI INTL, D , D ,13,"110,775", Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
5682,BLUE CANOPY GROUP LLC,   ,13,13,"111,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
1901,INDUS GROUP INC, D , D ,13,"83,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
4707,HOWARD UNIVERSITY, D , D ,13,"65,000", Professional Degree , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Master's , D 
5736,EASTBANC TECHNOLOGIES LLC,10, D , H ,"92,019", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2963,KPK TECHNOLOGIES INC,   ,13,13,"80,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
9645,CREATIVE INFORMATION TECH INC, D , D ,13,"76,544", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
2556,ADVENTIST HEALTHCARE INC, D ,12, H ,"83,200", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
9933,EASTLAND FOOD CORPORATION,12, D , H ,"39,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
279,CAESAR RODNEY SCHOOL DISTRICT,12, D , H ,"45,764", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
1094,HYUNDAI AUTOEVER AMERICA LLC, D ,12, H ,"113,021", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
3575,SERVOTECH INC, D , D ,13,"43,680", Master's ,13
4291,INFOSOFT INC, D , D ,13,"72,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
840,IOMEGA TECHNOLOGIES INC, D , D ,13,"85,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
8102,S&P OPCO LLC, D , D ,13,"130,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6217,CAPITAL INFO GROUP INC,11, D , H ,"85,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
1053,RAPPORT IT SERVICES LLC, D ,12, H ,"95,000", Bachelor's , H 
 , ,   ,   ,   ,   , Master's , D 
1756,BAXALTA US INC, D ,12, H ,"124,836", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
7290,SAIKA TECHNOLOGIES INC, D , D ,13,"71,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
2966,CONGLOMERATEIT LLC, D , D ,13,"80,000", Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
6690,AAA GLOBAL TECHNOLOGIES LLC, D ,12, H ,"90,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
4736,EOG RESOURCES INC, D ,11, H ,"104,000", Master's , D 
 , ,   ,   ,   ,   , Bachelor's , D 
 , ,   ,   ,   ,   , Doctorate , D 
9676,ASAPP INC, D ,12, H ,"160,000", Bachelor's , D 
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
